id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1395472799020421120,1395448299792920576,2021-05-20 15:13:36 Central Daylight Time,2021-05-20,15:13:36,-0600,44196397,elonmusk,Elon Musk,,@TeslaGong @wintonARK Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.,en,[],[],[],1545,844,5641,[],[],https://twitter.com/elonmusk/status/1395472799020421120,False,,0,,,,,,,,"[{'screen_name': 'TeslaGong', 'name': 'Tesla in the Gong 🇦🇺🦘🤖🚕', 'id': '1008296232261783552'}, {'screen_name': 'wintonARK', 'name': 'Brett Winton', 'id': '760345658'}]",,,,
1394170030741413888,1394051036462071808,2021-05-17 00:56:52 Central Daylight Time,2021-05-17,00:56:52,-0600,44196397,elonmusk,Elon Musk,,"@BTC_Archive To clarify speculation, Tesla has not sold any Bitcoin",en,[],[],[],17730,17463,100211,[],[],https://twitter.com/elonmusk/status/1394170030741413888,False,,0,,,,,,,,"[{'screen_name': 'BTC_Archive', 'name': 'Bitcoin Archive 🗄🚀🌔', 'id': '970994516357472257'}]",,,,
1393993975019749382,1393971202738302986,2021-05-16 13:17:17 Central Daylight Time,2021-05-16,13:17:17,-0600,44196397,elonmusk,Elon Musk,,"@ChainLinkGod @PeterMcCormack Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies.   A single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?   https://t.co/Oom8yzGRNQ",en,[],['https://fortune.com/2021/04/20/bitcoin-mining-coal-china-environment-pollution/amp/'],[],7146,7370,39871,[],[],https://twitter.com/elonmusk/status/1393993975019749382,False,,0,,,,,,,,"[{'screen_name': 'ChainLinkGod', 'name': 'ChainLinkGod.eth 2.0', 'id': '1035721495'}, {'screen_name': 'PeterMcCormack', 'name': 'Peter McLasso', 'id': '893818632089763840'}]",,,,
1393991411524120576,1393960667372310535,2021-05-16 13:07:06 Central Daylight Time,2021-05-16,13:07:06,-0600,44196397,elonmusk,Elon Musk,,"@poisonouspinups @michael_saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",en,[],[],[],2207,1991,15590,[],[],https://twitter.com/elonmusk/status/1393991411524120576,False,,0,,,,,,,,"[{'screen_name': 'poisonouspinups', 'name': ""Poisonous Pinups Magazine ♥️'s DOGE"", 'id': '2148621167'}]",,,,
1392602041025843203,1392602041025843203,2021-05-12 17:06:14 Central Daylight Time,2021-05-12,17:06:14,-0600,44196397,elonmusk,Elon Musk,,Tesla &amp; Bitcoin  https://t.co/YSswJmVZhP,en,[],[],['https://pbs.twimg.com/media/E1OEK8jVEAMEv5A.jpg'],122884,75328,498428,[],[],https://twitter.com/elonmusk/status/1392602041025843203,False,,1,https://pbs.twimg.com/media/E1OEK8jVEAMEv5A.jpg,,,,,,,[],,,,
1386821144037236737,1386797551794499592,2021-04-26 18:15:01 Central Daylight Time,2021-04-26,18:15:01,-0600,44196397,elonmusk,Elon Musk,,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",en,[],[],[],4429,12572,96672,[],[],https://twitter.com/elonmusk/status/1386821144037236737,False,,0,,,,,,,,"[{'screen_name': 'stoolpresidente', 'name': 'Dave Portnoy', 'id': '43775786'}]",,,,
1374619672973221892,1374617643446063105,2021-03-24 02:10:43 Central Daylight Time,2021-03-24,02:10:43,-0600,44196397,elonmusk,Elon Musk,,Pay by Bitcoin capability available outside US later this year,en,[],[],[],3068,8870,138477,[],[],https://twitter.com/elonmusk/status/1374619672973221892,False,,0,,,,,,,,[],,,,
1374619379929772034,1374617643446063105,2021-03-24 02:09:34 Central Daylight Time,2021-03-24,02:09:34,-0600,44196397,elonmusk,Elon Musk,,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.  Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",en,[],[],[],4568,19509,175626,[],[],https://twitter.com/elonmusk/status/1374619379929772034,False,,0,,,,,,,,[],,,,
1374617643446063105,1374617643446063105,2021-03-24 02:02:40 Central Daylight Time,2021-03-24,02:02:40,-0600,44196397,elonmusk,Elon Musk,,You can now buy a Tesla with Bitcoin,en,[],[],[],35313,110078,877327,[],[],https://twitter.com/elonmusk/status/1374617643446063105,False,,0,,,,,,,,[],,,,
1370449101402353669,1370449101402353669,2021-03-12 12:58:22 Central Standard Time,2021-03-12,12:58:22,-0600,44196397,elonmusk,Elon Musk,,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!,en,[],[],[],11575,16947,238768,[],[],https://twitter.com/elonmusk/status/1370449101402353669,False,,0,,,,,,,,[],,,,
